prod_id,qty,price,discount,member,txn_id,start_txn_time
c4a632,4,13,17,t,54f307,2021-02-13T01:59:43.296Z
5d267b,4,40,17,t,54f307,2021-02-13T01:59:43.296Z
b9a74d,4,17,17,t,54f307,2021-02-13T01:59:43.296Z
2feb6b,2,29,17,t,54f307,2021-02-13T01:59:43.296Z
c4a632,5,13,21,t,26cc98,2021-01-19T01:39:00.345Z
e31d39,2,10,21,t,26cc98,2021-01-19T01:39:00.345Z
72f5d4,3,19,21,t,26cc98,2021-01-19T01:39:00.345Z
2a2353,3,57,21,t,26cc98,2021-01-19T01:39:00.345Z
f084eb,3,36,21,t,26cc98,2021-01-19T01:39:00.345Z
c4a632,1,13,21,f,ef648d,2021-01-27T02:18:17.164Z
e83aa3,5,32,21,f,ef648d,2021-01-27T02:18:17.164Z
d5e9a6,1,23,21,f,ef648d,2021-01-27T02:18:17.164Z
72f5d4,1,19,21,f,ef648d,2021-01-27T02:18:17.164Z
5d267b,3,40,21,f,ef648d,2021-01-27T02:18:17.164Z
f084eb,4,36,21,f,ef648d,2021-01-27T02:18:17.164Z
b9a74d,4,17,21,f,ef648d,2021-01-27T02:18:17.164Z
c4a632,2,13,23,t,fba96f,2021-03-03T00:32:56.054Z
e31d39,5,10,23,t,fba96f,2021-03-03T00:32:56.054Z
9ec847,3,54,23,t,fba96f,2021-03-03T00:32:56.054Z
f084eb,4,36,23,t,fba96f,2021-03-03T00:32:56.054Z
2feb6b,2,29,23,t,fba96f,2021-03-03T00:32:56.054Z
c4a632,5,13,11,t,4e9268,2021-01-23T14:18:54.057Z
e31d39,4,10,11,t,4e9268,2021-01-23T14:18:54.057Z
72f5d4,5,19,11,t,4e9268,2021-01-23T14:18:54.057Z
f084eb,2,36,11,t,4e9268,2021-01-23T14:18:54.057Z
b9a74d,2,17,11,t,4e9268,2021-01-23T14:18:54.057Z
e83aa3,4,32,4,t,9717d4,2021-01-29T07:22:13.267Z
d5e9a6,2,23,4,t,9717d4,2021-01-29T07:22:13.267Z
c8d436,4,10,4,t,9717d4,2021-01-29T07:22:13.267Z
2a2353,1,57,4,t,9717d4,2021-01-29T07:22:13.267Z
f084eb,1,36,4,t,9717d4,2021-01-29T07:22:13.267Z
72f5d4,3,19,14,f,e9a1dd,2021-03-28T20:01:43.132Z
9ec847,3,54,14,f,e9a1dd,2021-03-28T20:01:43.132Z
2a2353,4,57,14,f,e9a1dd,2021-03-28T20:01:43.132Z
f084eb,2,36,14,f,e9a1dd,2021-03-28T20:01:43.132Z
c4a632,3,13,6,f,003ea6,2021-01-20T14:21:00.979Z
e31d39,3,10,6,f,003ea6,2021-01-20T14:21:00.979Z
d5e9a6,3,23,6,f,003ea6,2021-01-20T14:21:00.979Z
9ec847,3,54,6,f,003ea6,2021-01-20T14:21:00.979Z
e31d39,5,10,20,f,5d749c,2021-03-28T22:24:25.804Z
d5e9a6,4,23,20,f,5d749c,2021-03-28T22:24:25.804Z
5d267b,5,40,20,f,5d749c,2021-03-28T22:24:25.804Z
2a2353,4,57,20,f,5d749c,2021-03-28T22:24:25.804Z
